candidate	step	seed	bimaxwell_val	candidate_val	diff_bimaxwell_minus_candidate
expann_b0p982_b0p944	3025	0	3.29569	3.29413	+0.001560
expann_b0p982_b0p944	3025	1	3.29594	3.29410	+0.001840
expann_b0p982_b0p944	3025	2	3.29653	3.29479	+0.001740
expann_b0p982_b0p944	3025	3	3.29694	3.29532	+0.001620
expann_b0p982_b0p944	3030	0	3.29505	3.29342	+0.001630
expann_b0p982_b0p944	3030	1	3.29522	3.29338	+0.001840
expann_b0p982_b0p944	3030	2	3.29573	3.29403	+0.001700
expann_b0p982_b0p944	3030	3	3.29625	3.29463	+0.001620
expann_b0p982_b0p944	3040	0	3.29378	3.29212	+0.001660
expann_b0p982_b0p944	3040	1	3.29391	3.29209	+0.001820
expann_b0p982_b0p944	3040	2	3.29450	3.29275	+0.001750
expann_b0p982_b0p944	3040	3	3.29488	3.29325	+0.001630
expann_b0p982_b0p944	3050	0	3.29266	3.29112	+0.001540
expann_b0p982_b0p944	3050	1	3.29279	3.29103	+0.001760
expann_b0p982_b0p944	3050	2	3.29340	3.29169	+0.001710
expann_b0p982_b0p944	3050	3	3.29387	3.29225	+0.001620
expann_b0p982_b0p944	3060	0	3.29175	3.29034	+0.001410
expann_b0p982_b0p944	3060	1	3.29191	3.29017	+0.001740
expann_b0p982_b0p944	3060	2	3.29245	3.29092	+0.001530
expann_b0p982_b0p944	3060	3	3.29289	3.29145	+0.001440
expann_b0p982_b0p944	3070	0	3.29029	3.28902	+0.001270
expann_b0p982_b0p944	3070	1	3.29040	3.28891	+0.001490
expann_b0p982_b0p944	3070	2	3.29091	3.28950	+0.001410
expann_b0p982_b0p944	3070	3	3.29131	3.29010	+0.001210
expann_b0p982_b0p944	3075	0	3.28965	3.28832	+0.001330
expann_b0p982_b0p944	3075	1	3.28979	3.28826	+0.001530
expann_b0p982_b0p944	3075	2	3.29029	3.28882	+0.001470
expann_b0p982_b0p944	3075	3	3.29072	3.28938	+0.001340
