### STEP LINES ###
step 46 | loss 0.0107 | teacher-student gap -0.0903 | adv_clip 6.5% | ratio_clip lo 3.8% hi 1.0% | staleness 1.01 (max 2) | grad 1.913 | lr 1.00e-06 | tokens 1526 | hint_drop 175.3% | sandbox_fail 0 | empty_eps 0
step 47 | loss -0.0220 | teacher-student gap -0.1512 | adv_clip 10.0% | ratio_clip lo 3.2% hi 1.3% | staleness 1.01 (max 2) | grad 2.023 | lr 1.00e-06 | tokens 1099 | hint_drop 174.5% | sandbox_fail 0 | empty_eps 0
step 48 | loss -0.0253 | teacher-student gap -0.0975 | adv_clip 6.6% | ratio_clip lo 3.9% hi 0.9% | staleness 1.01 (max 2) | grad 1.611 | lr 1.00e-06 | tokens 1439 | hint_drop 174.3% | sandbox_fail 0 | empty_eps 0
step 49 | loss -0.0170 | teacher-student gap -0.0732 | adv_clip 6.0% | ratio_clip lo 5.6% hi 1.3% | staleness 1.01 (max 2) | grad 1.560 | lr 1.00e-06 | tokens 1888 | hint_drop 175.6% | sandbox_fail 0 | empty_eps 0
step 50 | loss 0.0206 | teacher-student gap -0.0723 | adv_clip 5.6% | ratio_clip lo 2.5% hi 0.6% | staleness 1.01 (max 2) | grad 1.844 | lr 1.00e-06 | tokens 1595 | hint_drop 178.1% | sandbox_fail 0 | empty_eps 0
step 51 | loss -0.0509 | teacher-student gap -0.1113 | adv_clip 7.9% | ratio_clip lo 3.0% hi 1.5% | staleness 1.01 (max 2) | grad 1.948 | lr 1.00e-06 | tokens 1861 | hint_drop 178.9% | sandbox_fail 0 | empty_eps 0
step 52 | loss -0.0299 | teacher-student gap -0.1284 | adv_clip 6.9% | ratio_clip lo 5.3% hi 1.5% | staleness 1.00 (max 2) | grad 1.847 | lr 1.00e-06 | tokens 1198 | hint_drop 179.7% | sandbox_fail 0 | empty_eps 0
step 53 | loss -0.0270 | teacher-student gap -0.1605 | adv_clip 9.6% | ratio_clip lo 6.6% hi 1.7% | staleness 0.99 (max 2) | grad 1.524 | lr 1.00e-06 | tokens 1031 | hint_drop 182.2% | sandbox_fail 0 | empty_eps 0
step 54 | loss -0.0343 | teacher-student gap -0.0966 | adv_clip 7.7% | ratio_clip lo 5.0% hi 2.0% | staleness 0.99 (max 2) | grad 2.050 | lr 1.00e-06 | tokens 1867 | hint_drop 181.2% | sandbox_fail 0 | empty_eps 0
step 55 | loss -0.0339 | teacher-student gap -0.1016 | adv_clip 4.7% | ratio_clip lo 3.1% hi 1.2% | staleness 1.00 (max 2) | grad 1.429 | lr 1.00e-06 | tokens 1205 | hint_drop 182.0% | sandbox_fail 0 | empty_eps 0
step 56 | loss -0.0074 | teacher-student gap -0.0636 | adv_clip 4.4% | ratio_clip lo 3.3% hi 1.0% | staleness 1.00 (max 2) | grad 1.377 | lr 1.00e-06 | tokens 1980 | hint_drop 182.0% | sandbox_fail 0 | empty_eps 0
step 57 | loss -0.0891 | teacher-student gap -0.2007 | adv_clip 12.3% | ratio_clip lo 3.6% hi 1.0% | staleness 0.99 (max 2) | grad 2.184 | lr 1.00e-06 | tokens 1146 | hint_drop 183.1% | sandbox_fail 0 | empty_eps 0
step 58 | loss 0.0158 | teacher-student gap -0.0758 | adv_clip 4.9% | ratio_clip lo 2.9% hi 1.3% | staleness 0.99 (max 2) | grad 1.769 | lr 1.00e-06 | tokens 1674 | hint_drop 183.4% | sandbox_fail 0 | empty_eps 0
step 59 | loss -0.0543 | teacher-student gap -0.0986 | adv_clip 6.1% | ratio_clip lo 6.1% hi 2.4% | staleness 0.99 (max 2) | grad 1.440 | lr 1.00e-06 | tokens 1027 | hint_drop 183.1% | sandbox_fail 0 | empty_eps 0
step 60 | loss -0.0490 | teacher-student gap -0.0710 | adv_clip 5.0% | ratio_clip lo 5.7% hi 1.6% | staleness 0.99 (max 2) | grad 1.470 | lr 1.00e-06 | tokens 2342 | hint_drop 183.7% | sandbox_fail 0 | empty_eps 0
step 61 | loss -0.0155 | teacher-student gap -0.0776 | adv_clip 7.1% | ratio_clip lo 9.1% hi 3.4% | staleness 0.99 (max 2) | grad 1.647 | lr 1.00e-06 | tokens 1586 | hint_drop 184.0% | sandbox_fail 0 | empty_eps 0
step 62 | loss -0.0318 | teacher-student gap -0.1120 | adv_clip 7.7% | ratio_clip lo 0.9% hi 0.3% | staleness 0.98 (max 2) | grad 1.647 | lr 1.00e-06 | tokens 1475 | hint_drop 186.7% | sandbox_fail 0 | empty_eps 0
step 63 | loss -0.0470 | teacher-student gap -0.0772 | adv_clip 4.9% | ratio_clip lo 1.5% hi 0.3% | staleness 0.98 (max 2) | grad 1.393 | lr 1.00e-06 | tokens 1434 | hint_drop 186.6% | sandbox_fail 0 | empty_eps 0
step 64 | loss -0.0463 | teacher-student gap -0.2206 | adv_clip 12.2% | ratio_clip lo 0.1% hi 0.0% | staleness 0.98 (max 2) | grad 2.167 | lr 1.00e-06 | tokens 801 | hint_drop 186.1% | sandbox_fail 0 | empty_eps 0
step 65 | loss -0.0089 | teacher-student gap -0.0479 | adv_clip 2.0% | ratio_clip lo 5.9% hi 2.2% | staleness 0.98 (max 2) | grad 1.306 | lr 1.00e-06 | tokens 2850 | hint_drop 186.2% | sandbox_fail 0 | empty_eps 0
