fork	assignment	step	name	weight_frob
1500	0	1875	blocks.10.attn.v.weight	83.19147491455078
1500	0	1875	blocks.10.attn.proj.weight	58.65021896362305
1500	0	1875	blocks.10.mlp.fc.weight	119.26702880859375
1500	0	1875	blocks.10.mlp.proj.weight	62.306671142578125
1500	0	1875	blocks.11.attn.q.weight	48.545780181884766
1500	0	1875	blocks.11.attn.k.weight	67.27954864501953
1500	0	1875	blocks.11.attn.v.weight	72.94384765625
1500	0	1875	blocks.11.attn.proj.weight	65.6133804321289
1500	0	1875	blocks.11.mlp.fc.weight	156.0054931640625
1500	0	1875	blocks.11.mlp.proj.weight	68.11640930175781
1500	0	2000	blocks.0.attn.q.weight	57.135467529296875
1500	0	2000	blocks.0.attn.k.weight	56.210113525390625
1500	0	2000	blocks.0.attn.v.weight	57.51936721801758
1500	0	2000	blocks.0.attn.proj.weight	47.661624908447266
1500	0	2000	blocks.0.mlp.fc.weight	119.3060531616211
1500	0	2000	blocks.0.mlp.proj.weight	77.22709655761719
1500	0	2000	blocks.1.attn.q.weight	71.20280456542969
1500	0	2000	blocks.1.attn.k.weight	69.58018493652344
1500	0	2000	blocks.1.attn.v.weight	50.12681579589844
1500	0	2000	blocks.1.attn.proj.weight	63.46886444091797
1500	0	2000	blocks.1.mlp.fc.weight	112.80562591552734
1500	0	2000	blocks.1.mlp.proj.weight	80.65563201904297
1500	0	2000	blocks.2.attn.q.weight	57.6659049987793
1500	0	2000	blocks.2.attn.k.weight	50.946434020996094
1500	0	2000	blocks.2.attn.v.weight	62.93616485595703
1500	0	2000	blocks.2.attn.proj.weight	60.697418212890625
1500	0	2000	blocks.2.mlp.fc.weight	113.69342041015625
1500	0	2000	blocks.2.mlp.proj.weight	64.06790161132812
1500	0	2000	blocks.3.attn.q.weight	47.45458984375
1500	0	2000	blocks.3.attn.k.weight	49.13329315185547
1500	0	2000	blocks.3.attn.v.weight	52.47758865356445
1500	0	2000	blocks.3.attn.proj.weight	57.23439025878906
1500	0	2000	blocks.3.mlp.fc.weight	114.62995910644531
1500	0	2000	blocks.3.mlp.proj.weight	64.3969955444336
