# REQ-023 runtime LR trace (one-update trace, assignment 0, SHA 25d3208). GATE PASS both forks:
# loaded pre-update state == source (model exact, optim tensors 0.000e+00); 72 entries in sorted_index order;
# every sorted_index->name->multiplier == assignments.tsv assignment_0; every effective_lr == 0.025*multiplier.
fork	sorted_index	name	multiplier	effective_lr	expected_0.025xmult	match
2000	31	blocks.1.attn.proj.weight	1.7	0.0425	0.0425	OK
2000	32	blocks.2.attn.q.weight	1.0	0.025	0.025	OK
2000	33	blocks.2.attn.k.weight	0.6	0.015	0.015	OK
2000	34	blocks.2.attn.v.weight	1.7	0.0425	0.0425	OK
2000	35	blocks.2.attn.proj.weight	1.7	0.0425	0.0425	OK
2000	36	blocks.3.attn.q.weight	0.6	0.015	0.015	OK
2000	37	blocks.3.attn.k.weight	0.6	0.015	0.015	OK
2000	38	blocks.3.attn.v.weight	0.6	0.015	0.015	OK
2000	39	blocks.3.attn.proj.weight	1.0	0.025	0.025	OK
2000	40	blocks.4.attn.q.weight	0.6	0.015	0.015	OK
2000	41	blocks.4.attn.k.weight	1.0	0.025	0.025	OK
2000	42	blocks.4.attn.v.weight	0.6	0.015	0.015	OK
2000	43	blocks.4.attn.proj.weight	1.7	0.0425	0.0425	OK
2000	44	blocks.5.attn.q.weight	1.7	0.0425	0.0425	OK
2000	45	blocks.5.attn.k.weight	0.6	0.015	0.015	OK
2000	46	blocks.5.attn.v.weight	1.7	0.0425	0.0425	OK
2000	47	blocks.5.attn.proj.weight	0.6	0.015	0.015	OK
2000	48	blocks.6.attn.q.weight	1.0	0.025	0.025	OK
2000	49	blocks.6.attn.k.weight	1.7	0.0425	0.0425	OK
2000	50	blocks.6.attn.v.weight	0.6	0.015	0.015	OK
2000	51	blocks.6.attn.proj.weight	0.6	0.015	0.015	OK
2000	52	blocks.7.attn.q.weight	1.0	0.025	0.025	OK
2000	53	blocks.7.attn.k.weight	0.6	0.015	0.015	OK
2000	54	blocks.7.attn.v.weight	1.0	0.025	0.025	OK
2000	55	blocks.7.attn.proj.weight	1.7	0.0425	0.0425	OK
2000	56	blocks.8.attn.q.weight	0.6	0.015	0.015	OK
2000	57	blocks.8.attn.k.weight	1.7	0.0425	0.0425	OK
2000	58	blocks.8.attn.v.weight	1.7	0.0425	0.0425	OK
2000	59	blocks.8.attn.proj.weight	1.0	0.025	0.025	OK
2000	60	blocks.9.attn.q.weight	1.7	0.0425	0.0425	OK
2000	61	blocks.9.attn.k.weight	1.0	0.025	0.025	OK
2000	62	blocks.9.attn.v.weight	0.6	0.015	0.015	OK
2000	63	blocks.9.attn.proj.weight	1.0	0.025	0.025	OK
2000	64	blocks.10.attn.q.weight	1.7	0.0425	0.0425	OK
2000	65	blocks.10.attn.k.weight	1.0	0.025	0.025	OK
2000	66	blocks.10.attn.v.weight	1.7	0.0425	0.0425	OK
2000	67	blocks.10.attn.proj.weight	0.6	0.015	0.015	OK
2000	68	blocks.11.attn.q.weight	0.6	0.015	0.015	OK
2000	69	blocks.11.attn.k.weight	1.7	0.0425	0.0425	OK
2000	70	blocks.11.attn.v.weight	1.0	0.025	0.025	OK
2000	71	blocks.11.attn.proj.weight	1.0	0.025	0.025	OK
